zcta,state_abbr,final_rank,investment_category_sf,composite_score,projected_delta_2023_2030,target_proxy_2023,target_proxy_2030_projection,median_hh_income_2019,pop_25_44_2019,hh_over_100k_2019
95134,CA,1,Invest,0.8679232293979071,2500.7953507960374,7188.176499752107,9688.971850548143,150131,17248,9198
11222,NY,2,Invest,0.760692598631923,2419.1261524062807,6574.335796030711,8993.461948436992,93488,19348,8266
75204,TX,3,Invest,0.7375283370327074,2509.393377378428,5663.684549356223,8173.077926734652,81529,16756,7200
77008,TX,4,Invest,0.7321010464495746,2343.4891313431126,5376.895181172955,7720.384312516067,108644,16313,8774
80211,CO,5,Invest,0.6725311507335062,2076.3603486298657,6252.792607035069,8329.152955664935,84773,17386,7339
30309,GA,6,Invest,0.6712761548163411,2199.896080150244,4988.926413047052,7188.822493197296,92105,12893,7123
94103,CA,7,Invest,0.6685283160122962,2314.744144860516,4840.676768881995,7155.4209137425105,75764,14434,7005
84096,UT,8,Invest,0.6665730368501653,2222.297524206752,4248.401813963299,6470.69933817005,100936,16378,6710
94608,CA,9,Invest,0.6664633685952358,2298.6097834520474,4331.213306665098,6629.823090117145,87517,14900,6440
27560,NC,10,Invest,0.6568344449624434,2244.930199746679,3931.0256072207294,6175.9558069674085,96830,14857,6684
75219,TX,11,Invest,0.6479245895517899,2334.90258603855,4109.312027518899,6444.214613557449,72559,12163,5591
11103,NY,12,Invest,0.6472386813573819,2406.2947876199883,3406.627994456543,5812.922782076532,76234,17076,5644
80205,CO,13,Invest,0.6437772205779286,2254.413414873993,4541.689094990548,6796.102509864541,72338,16969,5581
11101,NY,14,Invest,0.6415673285899358,2092.4965998137436,5458.762683620889,7551.259283434632,75581,13980,5728
30339,GA,15,Invest,0.6337468612966791,2129.688074557998,4550.641890341822,6680.32996489982,83365,11509,5125
77406,TX,16,Invest,0.630937100677967,1892.835292063355,4195.179484448232,6088.014776511587,124705,13955,9575
10036,NY,17,Invest,0.6277170628800259,2096.8486985379213,4008.9655758606036,6105.8142743985245,95301,12896,8380
76131,TX,18,Invest,0.6236283719188644,2239.6752950103278,3317.122513817348,5556.797808827676,85312,14760,5306
80203,CO,19,Invest,0.6126614485720987,2311.1335273554932,3798.2435696712146,6109.377097026708,55798,13618,3418
75078,TX,20,Invest,0.607593897399369,1750.1448471469048,3137.0192714002173,4887.164118547122,151066,8094,6444
11217,NY,21,Invest,0.6060403215557781,1588.0504603585687,5713.229110385491,7301.27957074406,119375,19404,10175
78253,TX,22,Invest,0.6050329468538724,2009.5864205559824,3541.636627304744,5551.223047860726,101138,12593,6247
94105,CA,23,Invest,0.6038211644324392,1210.4811237416043,3884.329885829416,5094.81100957102,213987,6287,4332
85212,AZ,24,Invest,0.6023757866177618,2065.3902406100133,3020.351716342436,5085.741956952449,101788,10666,5608
32259,FL,25,Invest,0.6007695917341419,1839.43673586905,3783.927919159534,5623.364655028584,118479,13097,9803
76227,TX,26,Invest,0.5976453177031948,1988.7433031240196,3747.6117214134965,5736.355024537516,94235,10833,5157
89178,NV,27,Invest,0.5965697210815778,2135.239069311052,2937.9207507820647,5073.159820093117,88517,15906,5832
78634,TX,28,Invest,0.5889274477470254,2104.308072788821,3083.578429117011,5187.886501905832,84237,12214,3832
92116,CA,29,Invest,0.5868015322339519,2029.9559754407032,3987.324736374031,6017.280711814734,74559,14837,5649
92108,CA,30,Invest,0.5669736936753532,2013.3586439196813,3359.941477808287,5373.300121727968,75296,10853,4171
94107,CA,31,Invest,0.5642405910501096,1083.4973501211643,5565.127525670751,6648.624875791916,166985,15737,9968
77493,TX,32,Invest,0.5624523558637551,1864.7857293455818,3523.096492355133,5387.882221700715,90861,10285,5041
78665,TX,33,Invest,0.5608794986655241,1722.859626558736,4235.744097866962,5958.603724425698,95932,15139,7037
80206,CO,34,Invest,0.5578200261265671,1957.7521418592783,3338.7086133170433,5296.460755176322,77165,11709,5625
75126,TX,35,Invest,0.5574385260698711,1698.27683213337,4109.081383889205,5807.358216022575,99729,14883,7118
33131,FL,36,Invest,0.5561615073378591,1622.0093411482248,4532.988277727683,6154.997618875908,101248,9916,5431
30316,GA,37,Invest,0.5540081976913247,1973.1441022738868,3327.9232876712326,5301.067389945119,72143,14523,5190
75201,TX,38,Invest,0.5517894156814811,1765.591990582955,3552.175240623963,5317.767231206918,97104,9782,4992
33579,FL,39,Invest,0.5455826505091849,1930.4577978944028,2725.572256628391,4656.030054522794,85033,11570,4241
78702,TX,40,Invest,0.5433678967587132,1946.4662015945025,3437.6936025665223,5384.159804161025,65689,11146,3446
37209,TN,41,Invest,0.5316882321232136,1916.1093554027989,3759.646962233169,5675.756317635967,54461,15833,4040
78626,TX,42,Invest,0.5260484283902912,1958.9582026976793,2450.1214349178144,4409.079637615494,71638,10745,3699
30324,GA,43,Invest,0.5250275190080639,1774.0114293359775,3593.813020068527,5367.824449404505,74438,13840,5402
84005,UT,44,Invest,0.5246274256938133,1935.7814005907376,2045.0116051795746,3980.7930057703124,82721,10143,2426
30308,GA,45,Invest,0.5244773212067139,1851.7409331139113,3240.21132496035,5091.952258074261,69795,10033,3946
77583,TX,46,Invest,0.5243535558471302,1913.3943659317715,2376.987323175083,4290.3816891068545,78808,13412,3947
93619,CA,47,Invest,0.5229497104125673,1560.0210653004092,2860.8003971450516,4420.821462445461,120944,9878,7834
75039,TX,48,Invest,0.5220173356786781,1676.0471624181719,3348.4007126948777,5024.44787511305,92224,11093,4665
85295,AZ,49,Invest,0.5208568928987947,1617.962798924328,3473.1088907983985,5091.071689722727,97472,14816,7188
80202,CO,50,Invest,0.5202505543236731,1670.8206743591413,3408.2224537925736,5079.043128151715,90384,7746,4425
28278,NC,51,Invest,0.5190041033708028,1775.6493131718623,2454.0463252648333,4229.695638436696,93938,8889,4642
94609,CA,52,Invest,0.5150688809140208,1760.2030297194342,2758.816649231512,4519.019678950946,86750,11106,4396
29708,SC,53,Invest,0.5142430719159424,1547.3551339675096,2960.172555961892,4507.527689929402,114070,9799,7479
92107,CA,54,Invest,0.5139293037893872,1699.653199325967,3215.1596226795127,4914.81282200548,85299,13431,5879
80550,CO,55,Invest,0.5136683163641285,1648.4544994051128,3025.735528219971,4674.1900276250835,96907,8243,5167
77006,TX,56,Invest,0.5099301248081656,1616.444782686471,3631.050445103858,5247.4952277903285,85956,10698,5898
78723,TX,57,Invest,0.5074126971133887,1861.0368490927842,3058.5692841600794,4919.606133252863,59197,14356,4077
80209,CO,58,Invest,0.5067207489558673,1543.3035875479718,3757.26998581772,5300.573573365692,91884,11587,6439
11105,NY,59,Invest,0.506431871464798,1671.1498273106868,3401.9429194691875,5073.092746779874,79883,15559,6009
11106,NY,60,Invest,0.5059323366280444,1760.0709648020386,3284.7295668642546,5044.800531666293,68530,16119,5635
84081,UT,61,Invest,0.5058921300341768,1642.5322674367137,2879.1519705566634,4521.684237993377,94981,16653,6225
80238,CO,62,Invest,0.5052337404853,1360.107158606423,2668.222018473241,4028.329177079664,141786,7606,5247
94610,CA,63,Invest,0.505127634901271,1441.6946205241686,4007.3409946442234,5449.035615168392,100717,13550,7658
78754,TX,64,Invest,0.503370516403451,1850.520139521544,2354.1127029608406,4204.632842482384,72752,10479,2763
37174,TN,65,Invest,0.5025979040228348,1689.18383548036,2837.217003426681,4526.40083890704,86284,11521,5381
75063,TX,66,Invest,0.5023963201835348,1440.2645466125414,4137.798113705317,5578.062660317858,96053,17096,7745
84045,UT,67,Invest,0.5020405239822383,1662.9276568226394,2207.9279669810235,3870.8556238036626,103287,9321,3647
29715,SC,68,Invest,0.4996645296997065,1751.7361012202018,2436.1535742788733,4187.889675499075,83130,9262,4796
33132,FL,69,Invest,0.4992390480632188,1662.4543606595962,3173.353431265073,4835.80779192467,80577,7574,2717
79705,TX,70,Invest,0.49662723704999256,1593.4217258313142,3350.1514511636265,4943.573176994941,85259,12779,6485
27502,NC,71,Invest,0.49595053852145227,1384.8269489880438,3381.3849607892744,4766.211909777318,115685,11330,8283
89139,NV,72,Invest,0.4944774434903242,1771.5162410863336,2294.0224264623266,4065.53866754866,79197,15113,4709
92103,CA,73,Invest,0.49411787054538325,1541.007196856129,3937.762989344286,5478.770186200415,78720,14407,6976
84074,UT,74,Invest,0.4936353097234101,1718.3873043519475,2796.177831912302,4514.565136264249,75870,15346,4908
78610,TX,75,Invest,0.49126525068864024,1633.580338342576,3107.3278354931995,4740.908173835775,80256,11978,4684
80516,CO,76,Invest,0.49092914215588435,1439.0610603483472,2677.4473818955994,4116.508442243947,118666,8300,6080
77389,TX,77,Invest,0.48975040575762846,1392.9245624679838,2597.0689415198117,3989.9935039877955,126473,11581,7359
29466,SC,78,Invest,0.48897602028788834,1506.5297084360395,2388.7044630184514,3895.234171454491,113117,10089,8038
78628,TX,79,Invest,0.4888657979812867,1610.4375423646975,2484.5004796858616,4094.938022050559,95238,8078,5753
75189,TX,80,Invest,0.4874054357327571,1588.8984692001225,2797.4641021015605,4386.362571301683,90694,8497,4059
30312,GA,81,Invest,0.4865939518072799,1826.4537191219515,2625.838287840277,4452.292006962229,57740,10997,3531
28273,NC,82,Invest,0.48641959953398883,1739.0605948894383,2670.4999898251967,4409.560584714635,69896,14601,3710
11237,NY,83,Invest,0.48552788929451174,1784.045284290841,3095.8906108372203,4879.935895128061,53303,20392,4407
84041,UT,84,Invest,0.4854944643956171,1751.9536855108377,2508.412566210046,4260.366251720883,70698,16713,4442
33137,FL,85,Invest,0.485277213249877,1776.17216578401,2658.6521611721614,4434.824326956172,63650,10484,2912
30328,GA,86,Invest,0.4845883176678327,1461.9181557778304,3655.1837407588678,5117.101896536698,89446,13069,8145
94551,CA,87,Invest,0.4844847971216507,1398.0421282943446,2723.2411781408914,4121.283306435236,118967,14286,9525
95136,CA,88,Invest,0.48303064234948284,1320.6297720959678,3542.465127128528,4863.094899224496,112074,14721,8860
34786,FL,89,Invest,0.4797232059814478,1455.6100502637169,2794.366132723112,4249.976182986829,105075,13862,7784
80022,CO,90,Invest,0.4794571689617764,1679.9602671130078,2809.0818725233394,4489.042139636347,70557,16003,4793
89166,NV,91,Invest,0.47787178548617937,1647.9088362313873,2017.2080381381181,3665.1168743695052,91126,10157,3249
77441,TX,92,Invest,0.47602703693567333,1147.62259746823,2013.788664336727,3161.4112618049567,165603,3046,2915
92127,CA,93,Invest,0.47500079258794536,1150.9300368192912,3229.1300901185145,4380.060126937806,138338,14012,10736
78717,TX,94,Invest,0.47499084900209887,1334.063718394556,3134.952307052792,4469.0160254473485,112590,10242,5814
77044,TX,95,Invest,0.4747999027323764,1626.936258237513,2552.803160764898,4179.7394190024115,80503,15217,5940
90028,CA,96,Invest,0.4734868806501089,1853.3587362542298,2538.0423968703285,4391.401133124558,45499,13640,3169
80112,CO,97,Invest,0.4731784981083783,1420.7431208600037,3284.225529479107,4704.968650339111,94875,11353,6596
89131,NV,98,Invest,0.473006635732731,1496.0208067076476,2544.5789078255366,4040.599714533184,99145,12907,8305
80218,CO,99,Invest,0.4719446234746806,1663.9233424406348,2790.0696137161744,4453.99295615681,67639,10582,3582
75013,TX,100,Invest,0.4703953531559832,1172.1945664122395,3279.5902753465,4451.784841758739,130509,10908,9001
95126,CA,101,Invest,0.4701647566774428,1287.2433406012144,3922.2652004498027,5209.508541051017,99160,14486,7454
77047,TX,102,Invest,0.46914884123994677,1844.238521741551,1407.416704493872,3251.655226235423,67725,11401,2748
85224,AZ,103,Invest,0.4663208028405448,1530.4115312947092,3242.6784945346144,4773.090025829324,73890,14756,5875
78727,TX,104,Invest,0.4658896787084968,1481.9884629065286,3249.234641030621,4731.223103937149,80758,13113,5066
95757,CA,105,Invest,0.46459577115777256,1412.6761974215258,2541.90222792702,3954.5784253485454,105390,13749,7667
90012,CA,106,Invest,0.4643518247383547,1780.3423352160949,2656.8662146651363,4437.208549881231,47027,16321,3625
77388,TX,107,Invest,0.4627245856067423,1470.4870251411082,2631.052504252504,4101.539529393613,93290,13748,7533
76226,TX,108,Invest,0.4615631594818512,1180.1876100648992,2534.0884588804424,3714.2760689453416,138467,6049,5992
10001,NY,109,Invest,0.46061624944991497,1295.744353100048,3815.474775611266,5111.219128711315,92840,9445,6160
85286,AZ,110,Invest,0.45896049654984616,1309.9642609858843,3035.708682574694,4345.6729435605785,106084,14062,7772
84106,UT,111,Invest,0.4587767537037202,1558.0046619255072,2889.199579769761,4447.204241695268,71485,12828,4367
77365,TX,112,Invest,0.45643590447076493,1608.9392655508882,2077.6292852992447,3686.568550850133,79320,10405,5128
30813,GA,113,Invest,0.45625933967525245,1620.5880169315499,2085.4147161205137,3706.0027330520634,77253,15994,4596
94158,CA,114,Invest,0.45276436612472515,1112.4078251473159,1839.0082991254685,2951.416124272784,156856,5155,3065
32832,FL,115,Invest,0.44929869250167775,1478.4719534333217,2262.508131363832,3740.9800847971537,89673,10045,4358
78653,TX,116,Invest,0.4491328556700559,1643.9297262736147,1840.2949995764745,3484.2247258500893,73496,7991,2013
78108,TX,117,Invest,0.44846956532325116,1376.629443041549,2459.0403029427544,3835.6697459843035,100271,11963,6144
90094,CA,118,Invest,0.4475962887257723,1046.2947449889139,2189.862290756164,3236.157035745078,155417,4422,2961
75024,TX,119,Invest,0.4470744708922426,1188.2197446956075,3639.465139508557,4827.6848842041645,102524,15098,9102
80233,CO,120,Invest,0.44578479987034547,1527.3094166306555,2440.6674494674157,3967.9768660980712,75772,15800,5155
27612,NC,121,Invest,0.44510746718225297,1391.541137687358,3186.662087708462,4578.2032253958205,79883,12980,7161
27540,NC,122,Invest,0.4450175334965148,1261.2483462047492,2726.1017546148328,3987.3501008195817,109404,11252,7186
29414,SC,123,Invest,0.4441604204796868,1444.3678146750594,3214.021776425647,4658.389591100707,70567,13983,5644
80210,CO,124,Invest,0.443399007340159,1251.373626184922,3401.4618822628017,4652.835508447723,95225,12818,7539
33837,FL,125,Invest,0.44239764992191105,1754.432502567522,1571.4418305865674,3325.8743331540895,57337,8619,2069
95050,CA,126,Invest,0.4411055264105096,1253.9072345439106,3224.2526928967786,4478.159927440689,96872,13312,6773
30809,GA,127,Invest,0.439974320881567,1275.7313363923947,2530.3081970243047,3806.0395334166997,107531,11679,8142
95128,CA,128,Invest,0.43918348337776725,1293.7645512629688,3032.644335268721,4326.40888653169,93455,13091,6441
33032,FL,129,Invest,0.4383439265252685,1719.724775327047,1808.714161332452,3528.4389366594987,54420,15482,2460
11102,NY,130,Invest,0.4375733033160799,1434.6832764528706,3008.4908815125755,4443.174157965446,71382,13200,4504
78701,TX,131,Invest,0.43744515531658396,1181.1234294344392,2425.0059384560013,3606.1293678904403,122182,5811,3787
80021,CO,132,Invest,0.4368536724170229,1351.9682505730477,3358.763061695068,4710.731312268115,75879,11506,5468
29707,SC,133,Invest,0.4364320672100817,1450.628758192191,2168.215250965251,3618.844009157442,86052,8400,5238
94560,CA,134,Invest,0.4348946692221844,993.6349849764947,3912.0696998621274,4905.704684838622,116856,14782,8386
89011,NV,135,Invest,0.4345505940947533,1599.9248289918212,1787.2215538847117,3387.1463828765327,70129,8313,3665
32824,FL,136,Invest,0.43379734958162813,1572.2314506743246,2088.785391266597,3661.0168419409215,67303,15074,3693
28202,NC,137,Invest,0.433179392575081,1377.9197884147643,2252.110590329279,3630.0303787440434,92786,6597,3393
90292,CA,138,Invest,0.43315346155219603,1012.3752430873458,3816.4509373416654,4828.826180429011,114726,9485,7388
94114,CA,139,Invest,0.43293187477209905,541.5403482520381,4926.030451720344,5467.570799972382,162193,15612,11652
75023,TX,140,Invest,0.432876201338946,1283.4382089672108,3032.4312778755266,4315.869486842737,90193,14483,7872
80204,CO,141,Invest,0.4327215394529439,1501.8201580637115,3338.882988907033,4840.7031469707445,50429,12686,3285
32258,FL,142,Invest,0.43191381866147877,1405.5299431504657,2532.8296214083116,3938.3595645587775,81632,11467,4794
78414,TX,143,Invest,0.43132219414410133,1320.4160633631882,2880.3225818994847,4200.738645262672,86650,13180,6307
28203,NC,144,Invest,0.43097255016400965,1321.5274618387134,2794.929273084479,4116.456734923193,88039,8182,3791
27526,NC,145,Invest,0.4297910312175597,1357.7786372992948,2890.7043132229455,4248.482950522241,79593,13075,6170
91601,CA,146,Invest,0.4296212057714408,1473.1510967136003,3268.1365538843734,4741.287650597974,53911,16869,3938
94085,CA,147,Invest,0.42956557282429514,986.10805922391,3263.6655295997234,4249.773588823633,127774,10779,5114
95054,CA,148,Invest,0.4293126115898765,809.1475114471988,3352.4672963962535,4161.614807843453,152500,10472,6222
84003,UT,149,Invest,0.42887726766058654,1332.1655482385192,2457.8873486671855,3790.052896905705,92026,12081,6305
94040,CA,150,Invest,0.42858668742545963,773.0899120004668,4200.680363115146,4973.770275115613,139278,13646,9301
10010,NY,151,Invest,0.42824230205916386,837.7599058335584,4024.0999216423756,4861.859827475934,132988,14225,10019
85339,AZ,152,Invest,0.42720520273158463,1435.2580527757264,2408.8473653005262,3844.1054180762526,76170,14195,4591
77304,TX,153,Invest,0.42682330403029034,1561.9797594626266,2041.9255150554673,3603.905274518094,64516,9333,4098
92111,CA,154,Invest,0.4257964925676811,1419.4619955680205,2561.7263772663878,3981.1883728344083,74217,16905,5855
76262,TX,155,Invest,0.4255015102523949,1083.0132287643194,2731.409346394733,3814.422575159052,121352,11215,7926
85296,AZ,156,Invest,0.42463314342778147,1200.476173510761,3028.3307080563986,4228.8068815671595,96539,13382,6796
37203,TN,157,Invest,0.42453922473990235,1583.9719881207488,2140.3356726302263,3724.307660750975,57330,7339,1966
94014,CA,158,Invest,0.4232747071941952,1316.4495962121975,2417.93628563401,3734.3858818462077,90970,15166,6267
85140,AZ,159,Invest,0.42305707585173247,1457.6049694701298,2298.2895179920906,3755.8944874622202,71969,13646,4447
91423,CA,160,Invest,0.42294411919427505,1205.848508380822,3192.0759159085324,4397.924424289355,90931,11575,6954
