final_rank,zcta,state_abbr,investment_category_sf,composite_score,projected_delta_2023_2030,target_proxy_2023,target_proxy_2030_projection,median_hh_income_2019,pop_25_44_2019,hh_over_100k_2019
1,95134,CA,Invest,0.8679232293979071,2500.7953507960374,7188.176499752107,9688.971850548143,150131,17248,9198
2,11222,NY,Invest,0.760692598631923,2419.1261524062807,6574.335796030711,8993.461948436992,93488,19348,8266
3,75204,TX,Invest,0.7375283370327074,2509.393377378428,5663.684549356223,8173.077926734652,81529,16756,7200
4,77008,TX,Invest,0.7321010464495746,2343.4891313431126,5376.895181172955,7720.384312516067,108644,16313,8774
5,80211,CO,Invest,0.6725311507335062,2076.3603486298657,6252.792607035069,8329.152955664935,84773,17386,7339
6,30309,GA,Invest,0.6712761548163411,2199.896080150244,4988.926413047052,7188.822493197296,92105,12893,7123
7,94103,CA,Invest,0.6685283160122962,2314.744144860516,4840.676768881995,7155.4209137425105,75764,14434,7005
8,84096,UT,Invest,0.6665730368501653,2222.297524206752,4248.401813963299,6470.69933817005,100936,16378,6710
9,94608,CA,Invest,0.6664633685952358,2298.6097834520474,4331.213306665098,6629.823090117145,87517,14900,6440
10,27560,NC,Invest,0.6568344449624434,2244.930199746679,3931.0256072207294,6175.9558069674085,96830,14857,6684
11,75219,TX,Invest,0.6479245895517899,2334.90258603855,4109.312027518899,6444.214613557449,72559,12163,5591
12,11103,NY,Invest,0.6472386813573819,2406.2947876199883,3406.627994456543,5812.922782076532,76234,17076,5644
13,80205,CO,Invest,0.6437772205779286,2254.413414873993,4541.689094990548,6796.102509864541,72338,16969,5581
14,11101,NY,Invest,0.6415673285899358,2092.4965998137436,5458.762683620889,7551.259283434632,75581,13980,5728
15,30339,GA,Invest,0.6337468612966791,2129.688074557998,4550.641890341822,6680.32996489982,83365,11509,5125
16,77406,TX,Invest,0.630937100677967,1892.835292063355,4195.179484448232,6088.014776511587,124705,13955,9575
17,10036,NY,Invest,0.6277170628800259,2096.8486985379213,4008.9655758606036,6105.8142743985245,95301,12896,8380
18,76131,TX,Invest,0.6236283719188644,2239.6752950103278,3317.122513817348,5556.797808827676,85312,14760,5306
19,80203,CO,Invest,0.6126614485720987,2311.1335273554932,3798.2435696712146,6109.377097026708,55798,13618,3418
20,75078,TX,Invest,0.607593897399369,1750.1448471469048,3137.0192714002173,4887.164118547122,151066,8094,6444
21,11217,NY,Invest,0.6060403215557781,1588.0504603585687,5713.229110385491,7301.27957074406,119375,19404,10175
22,78253,TX,Invest,0.6050329468538724,2009.5864205559824,3541.636627304744,5551.223047860726,101138,12593,6247
23,94105,CA,Invest,0.6038211644324392,1210.4811237416043,3884.329885829416,5094.81100957102,213987,6287,4332
24,85212,AZ,Invest,0.6023757866177618,2065.3902406100133,3020.351716342436,5085.741956952449,101788,10666,5608
25,32259,FL,Invest,0.6007695917341419,1839.43673586905,3783.927919159534,5623.364655028584,118479,13097,9803
